Memory Stats

Group, Name, MB, KB, Bytes
ROM, src/battle_controller_link_opponent.o, 0, 1, 1750
ROM, src/field_specials.o, 0, 1, 1746
ROM, src/overworld.o, 0, 1, 1744
ROM, src/battle_controller_recorded_player.o, 0, 1, 1737
ROM, src/main_menu.o, 0, 1, 1723
ROM, src/intro.o, 0, 1, 1708
ROM, src/battle_controller_recorded_opponent.o, 0, 1, 1669
ROM, src/battle_anim_mons.o, 0, 1, 1634
ROM, src/menu.o, 0, 1, 1630
ROM, src/rayquaza_scene.o, 0, 1, 1619
ROM, src/battle_controller_link_partner.o, 0, 1, 1596
ROM, src/battle_ai_script_commands.o, 0, 1, 1583
ROM, src/scrcmd.o, 0, 1, 1567
ROM, src/field_weather_effect.o, 0, 1, 1563
ROM, src/battle_anim_throw.o, 0, 1, 1556
ROM, src/battle_interface.o, 0, 1, 1525
ROM, src/librfu_rfu.o, 0, 1, 1493
ROM, src/union_room_chat.o, 0, 1, 1485
ROM, src/field_player_avatar.o, 0, 1, 1379
ROM, src/link.o, 0, 1, 1371
ROM, src/battle_tv.o, 0, 1, 1362
ROM, src/battle_controller_wally.o, 0, 1, 1346
ROM, src/trainer_card.o, 0, 1, 1336
ROM, src/contest_ai.o, 0, 1, 1289
ROM, src/evolution_scene.o, 0, 1, 1283
ROM, src/field_effect_helpers.o, 0, 1, 1189
ROM, gflib/text.o, 0, 1, 1161
ROM, src/naming_screen.o, 0, 1, 1148
ROM, src/hall_of_fame.o, 0, 1, 1140
ROM, src/menu_specialized.o, 0, 1, 1132
ROM, src/battle_anim.o, 0, 1, 1126
ROM, gflib/sprite.o, 0, 1, 1093
ROM, src/use_pokeblock.o, 0, 1, 1084
ROM, src/battle_pyramid_bag.o, 0, 1, 1073
ROM, src/region_map.o, 0, 1, 1070
ROM, src/battle_gfx_sfx_util.o, 0, 1, 1064
ROM, src/follow_me.o, 0, 1, 1060
ROM, src/rogue_query.o, 0, 1, 1058
ROM, src/credits.o, 0, 1, 1048
ROM, src/record_mixing.o, 0, 0, 993
ROM, src/battle_controllers.o, 0, 0, 984
ROM, src/battle_setup.o, 0, 0, 952
ROM, src/player_pc.o, 0, 0, 952
ROM, src/apprentice.o, 0, 0, 942
ROM, src/battle_anim_water.o, 0, 0, 936
ROM, src/battle_message.o, 0, 0, 884
ROM, src/battle_anim_ghost.o, 0, 0, 843
ROM, src/image_processing_effects.o, 0, 0, 839
ROM, src/battle_anim_utility_funcs.o, 0, 0, 833
ROM, src/rogue_trainers.o, 0, 0, 833
ROM, src/item_use.o, 0, 0, 832
ROM, src/frontier_pass.o, 0, 0, 831
ROM, src/shop.o, 0, 0, 825
ROM, src/secret_base.o, 0, 0, 815
ROM, src/daycare.o, 0, 0, 806
ROM, gflib/bg.o, 0, 0, 797
ROM, src/cable_club.o, 0, 0, 794
ROM, src/cable_car.o, 0, 0, 792
ROM, src/battle_pike.o, 0, 0, 792
ROM, src/m4a.o, 0, 0, 791
ROM, src/AgbRfu_LinkManager.o, 0, 0, 769
ROM, src/contest_effect.o, 0, 0, 762
ROM, src/start_menu.o, 0, 0, 760
ROM, src/list_menu.o, 0, 0, 755
ROM, src/pokeball.o, 0, 0, 753
ROM, src/battle_ai_switch_items.o, 0, 0, 753
ROM, src/battle_anim_ice.o, 0, 0, 749
ROM, src/recorded_battle.o, 0, 0, 747
ROM, src/rogue_adventurepaths.o, 0, 0, 736
ROM, src/m4a_1.o, 0, 0, 722
ROM, src/mystery_gift_view.o, 0, 0, 698
ROM, src/mystery_gift_menu.o, 0, 0, 678
ROM, src/battle_anim_electric.o, 0, 0, 675
ROM, src/field_weather.o, 0, 0, 671
ROM, src/palette.o, 0, 0, 668
ROM, src/field_screen_effect.o, 0, 0, 662
ROM, src/option_menu.o, 0, 0, 654
ROM, src/rogue_hub.o, 0, 0, 647
ROM, src/rogue_quest.o, 0, 0, 642
ROM, gflib/window.o, 0, 0, 637
ROM, src/mauville_old_man.o, 0, 0, 635
ROM, src/fldeff_misc.o, 0, 0, 634
ROM, src/battle_anim_mon_movement.o, 0, 0, 629
ROM, src/battle_anim_flying.o, 0, 0, 623
ROM, src/item.o, 0, 0, 623
ROM, src/battle_anim_fire.o, 0, 0, 604
ROM, src/pokeblock.o, 0, 0, 602
ROM, src/battle_anim_dark.o, 0, 0, 597
ROM, src/field_control_avatar.o, 0, 0, 597
ROM, src/rogue_questmenu.o, 0, 0, 597
ROM, src/pokenav_match_call_gfx.o, 0, 0, 590
ROM, src/pokenav_menu_handler_gfx.o, 0, 0, 578
ROM, src/battle_bg.o, 0, 0, 578
ROM, src/match_call.o, 0, 0, 577
ROM, src/battle_intro.o, 0, 0, 576
ROM, src/battle_factory.o, 0, 0, 566
ROM, src/save.o, 0, 0, 559
ROM, src/battle_anim_psychic.o, 0, 0, 559
ROM, src/pokenav_conditions_gfx.o, 0, 0, 556
ROM, src/pokenav_ribbons_summary.o, 0, 0, 548
ROM, src/fieldmap.o, 0, 0, 545
ROM, src/bike.o, 0, 0, 535
ROM, src/pokenav_list.o, 0, 0, 530
ROM, src/move_relearner.o, 0, 0, 522
ROM, src/pokeblock_feed.o, 0, 0, 516
ROM, src/script_menu.o, 0, 0, 512
ROM, src/lilycove_lady.o, 0, 0, 512
ROM, src/egg_hatch.o, 0, 0, 504
ROM, src/tileset_anims.o, 0, 0, 499
ROM, src/link_rfu_3.o, 0, 0, 486
ROM, src/wild_encounter.o, 0, 0, 486
ROM, src/battle_anim_normal.o, 0, 0, 478
ROM, src/field_tasks.o, 0, 0, 472
ROM, src/pokedex_area_screen.o, 0, 0, 465
ROM, src/pokenav_conditions.o, 0, 0, 449
ROM, src/rogue_script.o, 0, 0, 448
ROM, *libgcc.a:dp-bit.o, 0, 0, 435
ROM, src/battle_anim_ground.o, 0, 0, 435
ROM, src/battle_anim_fight.o, 0, 0, 432
ROM, src/metatile_behavior.o, 0, 0, 430
ROM, src/evolution_graphics.o, 0, 0, 425
ROM, src/berry_tag_screen.o, 0, 0, 422
ROM, src/trainer_see.o, 0, 0, 414
ROM, src/rogue_settings_ui.o, 0, 0, 413
ROM, src/rogue_baked.o, 0, 0, 405
ROM, src/wallclock.o, 0, 0, 398
ROM, src/battle_transition_frontier.o, 0, 0, 395
ROM, src/fldeff_cut.o, 0, 0, 392
ROM, src/battle_arena.o, 0, 0, 391
ROM, src/battle_anim_rock.o, 0, 0, 387
ROM, src/mirage_tower.o, 0, 0, 386
ROM, src/trainer_hill.o, 0, 0, 379
ROM, src/title_screen.o, 0, 0, 375
ROM, src/contest_link.o, 0, 0, 365
ROM, src/sound.o, 0, 0, 364
ROM, src/palette_util.o, 0, 0, 361
ROM, src/mystery_gift.o, 0, 0, 360
ROM, src/rogue_followmon.o, 0, 0, 360
ROM, src/librfu_stwi.o, 0, 0, 359
ROM, src/reset_rtc_screen.o, 0, 0, 359
ROM, src/battle_controller_safari.o, 0, 0, 355
ROM, src/pokenav_main_menu.o, 0, 0, 354
ROM, src/pokenav_region_map.o, 0, 0, 352
ROM, src/battle_records.o, 0, 0, 344
ROM, src/rogue_assistant.o, 0, 0, 343
ROM, src/union_room_player_avatar.o, 0, 0, 340
ROM, src/pokenav_ribbons_list.o, 0, 0, 338
ROM, src/minigame_countdown.o, 0, 0, 338
ROM, src/pokenav_conditions_search_results.o, 0, 0, 336
ROM, src/trainer_pokemon_sprites.o, 0, 0, 330
ROM, src/faraway_island.o, 0, 0, 329
ROM, src/rogue_ridemon.o, 0, 0, 324
ROM, src/intro_credits_graphics.o, 0, 0, 315
ROM, src/digit_obj_util.o, 0, 0, 310
ROM, src/ereader_helpers.o, 0, 0, 308
ROM, src/reshow_battle_screen.o, 0, 0, 304
ROM, src/librfu_intr.o, 0, 0, 300
ROM, *libgcc.a:fp-bit.o, 0, 0, 297
ROM, src/mail.o, 0, 0, 293
ROM, src/rogue_popup.o, 0, 0, 291
ROM, src/starter_choose.o, 0, 0, 283
ROM, src/siirtc.o, 0, 0, 282
ROM, gflib/string_util.o, 0, 0, 281
ROM, src/field_camera.o, 0, 0, 277
ROM, src/battle_tent.o, 0, 0, 274
ROM, src/rotating_gate.o, 0, 0, 273
ROM, src/battle_anim_sound_tasks.o, 0, 0, 261
ROM, src/berry.o, 0, 0, 259
ROM, src/pokedex_cry_screen.o, 0, 0, 256
ROM, src/battle_anim_status_effects.o, 0, 0, 243
ROM, src/contest_link_util.o, 0, 0, 243
ROM, src/mon_markings.o, 0, 0, 242
ROM, src/pokemon_icon.o, 0, 0, 241
ROM, src/decompress.o, 0, 0, 238
ROM, src/ereader_screen.o, 0, 0, 232
ROM, src/mystery_gift_server.o, 0, 0, 231
ROM, src/field_special_scene.o, 0, 0, 231
ROM, src/mystery_event_script.o, 0, 0, 226
ROM, src/menu_helpers.o, 0, 0, 224
ROM, src/wireless_communication_status_screen.o, 0, 0, 220
ROM, src/pokenav_match_call_list.o, 0, 0, 215
ROM, src/multiboot.o, 0, 0, 214
ROM, src/pokenav_match_call_data.o, 0, 0, 212
ROM, src/save_failed_screen.o, 0, 0, 211
ROM, src/rogue_campaign.o, 0, 0, 210
ROM, src/dewford_trend.o, 0, 0, 209
ROM, src/battle_anim_bug.o, 0, 0, 209
ROM, src/battle_anim_dragon.o, 0, 0, 208
ROM, src/pokenav_menu_handler.o, 0, 0, 205
ROM, src/pokenav.o, 0, 0, 201
ROM, src/script.o, 0, 0, 199
ROM, src/fldeff_flash.o, 0, 0, 197
ROM, src/main.o, 0, 0, 194
ROM, src/rogue_timeofday.o, 0, 0, 194
ROM, src/mystery_event_menu.o, 0, 0, 192
ROM, src/rtc.o, 0, 0, 188
ROM, gflib/blit.o, 0, 0, 188
ROM, src/contest_painting.o, 0, 0, 178
ROM, src/item_menu_icons.o, 0, 0, 173
ROM, src/field_door.o, 0, 0, 173
ROM, src/text_window.o, 0, 0, 172
ROM, src/berry_fix_program.o, 0, 0, 171
ROM, src/rotating_tile_puzzle.o, 0, 0, 169
ROM, src/rogue_charms.o, 0, 0, 166
ROM, src/load_save.o, 0, 0, 160
ROM, src/union_room_battle.o, 0, 0, 160
ROM, src/agb_flash.o, 0, 0, 160
ROM, src/battle_util2.o, 0, 0, 159
ROM, src/scanline_effect.o, 0, 0, 158
ROM, src/trader.o, 0, 0, 156
ROM, src/event_data.o, 0, 0, 152
ROM, src/mini_printf.o, 0, 0, 151
ROM, src/battle_palace.o, 0, 0, 150
ROM, src/confetti_util.o, 0, 0, 146
ROM, src/braille.o, 0, 0, 144
ROM, src/mail_data.o, 0, 0, 141
ROM, src/mystery_gift_client.o, 0, 0, 135
ROM, *libgcc.a:_divdi3.o, 0, 0, 134
ROM, src/script_movement.o, 0, 0, 134
ROM, src/walda_phrase.o, 0, 0, 133
ROM, gflib/dma3_manager.o, 0, 0, 132
ROM, src/script_pokemon_util.o, 0, 0, 129
ROM, src/util.o, 0, 0, 125
ROM, src/map_name_popup.o, 0, 0, 125
ROM, *libgcc.a:_udivdi3.o, 0, 0, 123
ROM, src/event_object_lock.o, 0, 0, 122
ROM, src/safari_zone.o, 0, 0, 117
ROM, src/task.o, 0, 0, 116
ROM, src/new_game.o, 0, 0, 116
ROM, src/diploma.o, 0, 0, 114
ROM, src/clear_save_data_screen.o, 0, 0, 113
ROM, src/roamer.o, 0, 0, 110
ROM, src/pokemon_size_record.o, 0, 0, 109
ROM, src/decoration_inventory.o, 0, 0, 103
ROM, src/braille_puzzles.o, 0, 0, 103
ROM, src/international_string_util.o, 0, 0, 100
ROM, src/item_icon.o, 0, 0, 98
ROM, src/librfu_sio32id.o, 0, 0, 97
ROM, gflib/gpu_regs.o, 0, 0, 97
ROM, src/fldeff_rocksmash.o, 0, 0, 97
ROM, src/money.o, 0, 0, 96
ROM, src/rogue_settings.o, 0, 0, 94
ROM, src/fldeff_softboiled.o, 0, 0, 93
ROM, src/field_region_map.o, 0, 0, 93
ROM, src/libgcnmultiboot.o, 0, 0, 91
ROM, src/fldeff_escalator.o, 0, 0, 90
ROM, src/berry_powder.o, 0, 0, 89
ROM, src/lottery_corner.o, 0, 0, 89
ROM, src/battle_anim_poison.o, 0, 0, 88
ROM, src/agb_flash_mx.o, 0, 0, 86
ROM, src/mystery_gift_link.o, 0, 0, 85
ROM, src/field_poison.o, 0, 0, 82
ROM, src/field_message_box.o, 0, 0, 76
ROM, src/wonder_news.o, 0, 0, 72
ROM, gflib/malloc.o, 0, 0, 70
ROM, src/fldeff_sweetscent.o, 0, 0, 60
ROM, src/battle_anim_smokescreen.o, 0, 0, 57
ROM, src/birch_pc.o, 0, 0, 55
ROM, src/crt0.o, 0, 0, 52
ROM, src/coins.o, 0, 0, 51
ROM, src/time_events.o, 0, 0, 48
ROM, src/pokedex_area_region_map.o, 0, 0, 47
ROM, src/libisagbprn.o, 0, 0, 43
ROM, src/save_location.o, 0, 0, 43
ROM, src/gym_leader_rematch.o, 0, 0, 42
ROM, src/post_battle_event_funcs.o, 0, 0, 40
ROM, src/math_util.o, 0, 0, 40
ROM, src/agb_flash_1m.o, 0, 0, 40
ROM, src/clock.o, 0, 0, 36
ROM, src/rom_header.o, 0, 0, 32
ROM, src/play_time.o, 0, 0, 29
ROM, src/bard_music.o, 0, 0, 28
ROM, src/coord_event_weather.o, 0, 0, 27
ROM, src/landmark.o, 0, 0, 26
ROM, *libgcc.a:_modsi3.o, 0, 0, 26
ROM, *libgcc.a:_umodsi3.o, 0, 0, 24
ROM, src/fldeff_strength.o, 0, 0, 24
ROM, src/fldeff_teleport.o, 0, 0, 21
ROM, src/random.o, 0, 0, 20
ROM, src/fldeff_dig.o, 0, 0, 20
ROM, src/trig.o, 0, 0, 19
ROM, *libgcc.a:_divsi3.o, 0, 0, 18
ROM, src/dynamic_placeholder_text_util.o, 0, 0, 18
ROM, src/reload_save.o, 0, 0, 18
ROM, src/hof_pc.o, 0, 0, 17
ROM, src/heal_location.o, 0, 0, 16
ROM, *libgcc.a:_udivsi3.o, 0, 0, 15
ROM, *libgcc.a:_muldi3.o, 0, 0, 14
ROM, src/berry_fix_graphics.o, 0, 0, 13
ROM, *libc.a:memcpy.o, 0, 0, 12
ROM, *libc.a:strcmp.o, 0, 0, 11
ROM, *libc.a:memset.o, 0, 0, 10
ROM, *libc.a:strcpy.o, 0, 0, 9
ROM, src/battle_pyramid.o, 0, 0, 9
ROM, *libgcc.a:_fixunsdfsi.o, 0, 0, 8
ROM, *libgcc.a:_call_via_rX.o, 0, 0, 7
ROM, *libgcc.a:_lshrdi3.o, 0, 0, 6
ROM, *libgcc.a:_fixunssfsi.o, 0, 0, 6
ROM, src/rogue_adventure.o, 0, 0, 6
ROM, *libagbsyscall.a:SoftReset.o, 0, 0, 3
ROM, *libgcc.a:_negdi2.o, 0, 0, 3
ROM, *libagbsyscall.a:VBlankIntrWait.o, 0, 0, 1
ROM, *libagbsyscall.a:MultiBoot.o, 0, 0, 1
ROM, *libagbsyscall.a:Sqrt.o, 0, 0, 0
ROM, *libagbsyscall.a:ArcTan2.o, 0, 0, 0
ROM, *libagbsyscall.a:BgAffineSet.o, 0, 0, 0
ROM, *libagbsyscall.a:CpuFastSet.o, 0, 0, 0
ROM, *libagbsyscall.a:CpuSet.o, 0, 0, 0
ROM, *libagbsyscall.a:Div.o, 0, 0, 0
ROM, *libagbsyscall.a:LZ77UnCompWram.o, 0, 0, 0
ROM, *libagbsyscall.a:ObjAffineSet.o, 0, 0, 0
ROM, *libagbsyscall.a:LZ77UnCompVram.o, 0, 0, 0
ROM, *libagbsyscall.a:RegisterRamReset.o, 0, 0, 0
ROM, *libgcc.a:_dvmd_tls.o, 0, 0, 0
ROM, *libc.a:memchr.o, 0, 0, 0
ROM, *libc.a:memmove.o, 0, 0, 0
ROM, *libc.a:mlock.o, 0, 0, 0
ROM, *libc.a:mprec.o, 0, 0, 0
ROM, *libc.a:s_isinf.o, 0, 0, 0
ROM, *libc.a:s_isnan.o, 0, 0, 0
ROM, *libc.a:sbrkr.o, 0, 0, 0
ROM, *libc.a:stdio.o, 0, 0, 0
ROM, *libc.a:strlen.o, 0, 0, 0
ROM, *libc.a:syscalls.o, 0, 0, 0
ROM, *libc.a:writer.o, 0, 0, 0
ROM, *libc.a:callocr.o, 0, 0, 0
ROM, *libc.a:closer.o, 0, 0, 0
ROM, *libc.a:errno.o, 0, 0, 0
ROM, *libc.a:fstatr.o, 0, 0, 0
ROM, *libc.a:libcfunc.o, 0, 0, 0
ROM, *libc.a:readr.o, 0, 0, 0
ROM, *libc.a:lseekr.o, 0, 0, 0
ROM, *libc.a:fflush.o, 0, 0, 0
ROM, *libagbsyscall.a:RLUnCompWram.o, 0, 0, 0
ROM, *libagbsyscall.a:RLUnCompVram.o, 0, 0, 0
ROM, src/rogue_automation.o, 0, 0, 0
ROM, *libc.a:impure.o, 0, 0, 0
ROM, *libc.a:vsprintf.o, 0, 0, 0
ROM, *libc.a:vfprintf.o, 0, 0, 0
ROM, *libc.a:wsetup.o, 0, 0, 0
ROM, *libc.a:dtoa.o, 0, 0, 0
ROM, *libc.a:mbtowc_r.o, 0, 0, 0
ROM, *libc.a:findfp.o, 0, 0, 0
ROM, *libc.a:freer.o, 0, 0, 0
ROM, *libc.a:mtrim.o, 0, 0, 0
ROM, *libc.a:fvwrite.o, 0, 0, 0
ROM, *libc.a:fwalk.o, 0, 0, 0
ROM, *libc.a:locale.o, 0, 0, 0
ROM, *libc.a:makebuf.o, 0, 0, 0
ROM, *libc.a:mallocr.o, 0, 0, 0


EWRAM GROUPS

Group, Name, MB, KB, Bytes
EWRAM, TOTAL, 5, 6112, 6258688
EWRAM, src/load_save.o, 0, 6, 6846
EWRAM, src/fieldmap.o, 0, 2, 2566
EWRAM, src/decompress.o, 0, 2, 2048
EWRAM, src/link_rfu_2.o, 0, 0, 908
EWRAM, src/battle_main.o, 0, 0, 730
EWRAM, gflib/sprite.o, 0, 0, 722
EWRAM, src/rogue_controller.o, 0, 0, 650
EWRAM, src/save.o, 0, 0, 512
EWRAM, src/recorded_battle.o, 0, 0, 503
EWRAM, src/scanline_effect.o, 0, 0, 483
EWRAM, src/palette.o, 0, 0, 410
EWRAM, src/decoration.o, 0, 0, 303
EWRAM, src/field_weather.o, 0, 0, 251
EWRAM, src/link.o, 0, 0, 234
EWRAM, gflib/string_util.o, 0, 0, 223
EWRAM, src/pokemon.o, 0, 0, 154
EWRAM, gflib/text.o, 0, 0, 148
EWRAM, src/field_player_avatar.o, 0, 0, 77
EWRAM, src/trainer_card.o, 0, 0, 50
EWRAM, gflib/window.o, 0, 0, 48
EWRAM, src/contest.o, 0, 0, 39
EWRAM, src/trade.o, 0, 0, 36
EWRAM, src/battle_controllers.o, 0, 0, 33
EWRAM, src/tileset_anims.o, 0, 0, 30
EWRAM, src/safari_zone.o, 0, 0, 21
EWRAM, src/menu.o, 0, 0, 20
EWRAM, src/pokemon_storage_system.o, 0, 0, 18
EWRAM, src/daycare.o, 0, 0, 18
EWRAM, src/record_mixing.o, 0, 0, 16
EWRAM, src/trainer_pokemon_sprites.o, 0, 0, 15
EWRAM, src/mystery_event_script.o, 0, 0, 14
EWRAM, src/slot_machine.o, 0, 0, 14
EWRAM, src/dodrio_berry_picking.o, 0, 0, 12
EWRAM, src/item_menu.o, 0, 0, 10
EWRAM, src/battle_anim.o, 0, 0, 10
EWRAM, src/script_movement.o, 0, 0, 8
EWRAM, src/decoration_inventory.o, 0, 0, 8
EWRAM, src/overworld.o, 0, 0, 8
EWRAM, src/item.o, 0, 0, 8
EWRAM, src/party_menu.o, 0, 0, 7
EWRAM, src/union_room.o, 0, 0, 7
EWRAM, src/event_data.o, 0, 0, 6
EWRAM, src/battle_setup.o, 0, 0, 6
EWRAM, src/berry_blender.o, 0, 0, 6
EWRAM, src/shop.o, 0, 0, 6
EWRAM, src/battle_factory_screen.o, 0, 0, 4
EWRAM, src/dynamic_placeholder_text_util.o, 0, 0, 4
EWRAM, src/use_pokeblock.o, 0, 0, 4
EWRAM, src/field_effect.o, 0, 0, 4
EWRAM, src/field_specials.o, 0, 0, 4
EWRAM, src/start_menu.o, 0, 0, 3
EWRAM, src/player_pc.o, 0, 0, 3
EWRAM, src/save_failed_screen.o, 0, 0, 3
EWRAM, src/list_menu.o, 0, 0, 3
EWRAM, src/mirage_tower.o, 0, 0, 3
EWRAM, src/rogue_ridemon.o, 0, 0, 3
EWRAM, src/frontier_pass.o, 0, 0, 2
EWRAM, src/scrcmd.o, 0, 0, 2
EWRAM, src/rotating_gate.o, 0, 0, 2
EWRAM, src/hall_of_fame.o, 0, 0, 2
EWRAM, src/tv.o, 0, 0, 2
EWRAM, src/battle_dome.o, 0, 0, 2
EWRAM, src/rogue_questmenu.o, 0, 0, 2
EWRAM, src/battle_pyramid_bag.o, 0, 0, 2
EWRAM, src/battle_anim_dragon.o, 0, 0, 1
EWRAM, src/match_call.o, 0, 0, 1
EWRAM, src/pokedex_cry_screen.o, 0, 0, 1
EWRAM, src/pokedex.o, 0, 0, 1
EWRAM, src/move_relearner.o, 0, 0, 1
EWRAM, src/lilycove_lady.o, 0, 0, 1
EWRAM, src/union_room_chat.o, 0, 0, 1
EWRAM, src/rogue_followmon.o, 0, 0, 1
EWRAM, src/pokeblock.o, 0, 0, 1
EWRAM, src/easy_chat.o, 0, 0, 1
EWRAM, src/trainer_hill.o, 0, 0, 1
EWRAM, src/rogue_adventurepaths.o, 0, 0, 1
EWRAM, src/pokeblock_feed.o, 0, 0, 1
EWRAM, src/credits.o, 0, 0, 1
EWRAM, src/cable_car.o, 0, 0, 1
EWRAM, src/mystery_gift_menu.o, 0, 0, 1
EWRAM, src/pokemon_summary_screen.o, 0, 0, 1
EWRAM, src/mauville_old_man.o, 0, 0, 1
EWRAM, src/menu_helpers.o, 0, 0, 1
EWRAM, src/mystery_gift_view.o, 0, 0, 1
EWRAM, src/secret_base.o, 0, 0, 1
EWRAM, src/region_map.o, 0, 0, 1
EWRAM, src/evolution_scene.o, 0, 0, 1
EWRAM, src/item_icon.o, 0, 0, 1
EWRAM, src/fldeff_misc.o, 0, 0, 1
EWRAM, src/battle_anim_effects_1.o, 0, 0, 1
EWRAM, src/battle_records.o, 0, 0, 1
EWRAM, src/battle_message.o, 0, 0, 1
EWRAM, src/event_object_movement.o, 0, 0, 1
EWRAM, src/rogue_timeofday.o, 0, 0, 1
EWRAM, src/rogue_pokedex.o, 0, 0, 1
EWRAM, src/battle_tower.o, 0, 0, 1
EWRAM, src/rogue_query.o, 0, 0, 1
EWRAM, src/roamer.o, 0, 0, 1
EWRAM, src/wild_encounter.o, 0, 0, 1
EWRAM, src/pokenav.o, 0, 0, 1
EWRAM, src/random.o, 0, 0, 1
EWRAM, src/union_room_player_avatar.o, 0, 0, 1
EWRAM, src/menu_specialized.o, 0, 0, 1
EWRAM, src/pokemon_jump.o, 0, 0, 1
EWRAM, src/intro.o, 0, 0, 0
EWRAM, src/intro_credits_graphics.o, 0, 0, 0
EWRAM, src/roulette.o, 0, 0, 0
EWRAM, src/battle_ai_script_commands.o, 0, 0, 0
EWRAM, src/item_use.o, 0, 0, 0
EWRAM, src/sound.o, 0, 0, 0
EWRAM, src/mail.o, 0, 0, 0
EWRAM, src/berry_tag_screen.o, 0, 0, 0
EWRAM, src/diploma.o, 0, 0, 0
EWRAM, src/lottery_corner.o, 0, 0, 0
EWRAM, src/rogue_trainers.o, 0, 0, 0
EWRAM, src/rotating_tile_puzzle.o, 0, 0, 0
EWRAM, src/field_region_map.o, 0, 0, 0
EWRAM, src/field_control_avatar.o, 0, 0, 0
EWRAM, src/rayquaza_scene.o, 0, 0, 0
EWRAM, src/battle_anim_mons.o, 0, 0, 0
EWRAM, src/field_weather_effect.o, 0, 0, 0
EWRAM, src/pokedex_area_region_map.o, 0, 0, 0
EWRAM, src/digit_obj_util.o, 0, 0, 0
EWRAM, src/fldeff_cut.o, 0, 0, 0
EWRAM, src/main_menu.o, 0, 0, 0
EWRAM, src/mystery_gift.o, 0, 0, 0
EWRAM, src/mon_markings.o, 0, 0, 0
EWRAM, src/mystery_gift_server.o, 0, 0, 0
EWRAM, src/union_room_battle.o, 0, 0, 0
EWRAM, src/battle_anim_utility_funcs.o, 0, 0, 0
EWRAM, src/pokedex_area_screen.o, 0, 0, 0
EWRAM, src/mystery_gift_client.o, 0, 0, 0
EWRAM, src/contest_util.o, 0, 0, 0
EWRAM, src/berry_crush.o, 0, 0, 0
EWRAM, src/naming_screen.o, 0, 0, 0
EWRAM, src/battle_transition.o, 0, 0, 0
EWRAM, src/pokenav_list.o, 0, 0, 0
EWRAM, src/confetti_util.o, 0, 0, 0
EWRAM, src/rogue_quest.o, 0, 0, 0
EWRAM, src/rogue_popup.o, 0, 0, 0
EWRAM, src/main.o, 0, 0, 0
EWRAM, src/new_game.o, 0, 0, 0
EWRAM, src/battle_intro.o, 0, 0, 0
EWRAM, src/money.o, 0, 0, 0
EWRAM, src/trainer_see.o, 0, 0, 0
EWRAM, src/berry_powder.o, 0, 0, 0
EWRAM, src/faraway_island.o, 0, 0, 0
EWRAM, src/link_rfu_3.o, 0, 0, 0
EWRAM, src/braille_puzzles.o, 0, 0, 0
EWRAM, src/rogue_settings_ui.o, 0, 0, 0
EWRAM, src/field_camera.o, 0, 0, 0
EWRAM, src/field_message_box.o, 0, 0, 0
EWRAM, src/option_menu.o, 0, 0, 0
EWRAM, src/map_name_popup.o, 0, 0, 0
EWRAM, src/fldeff_escalator.o, 0, 0, 0
EWRAM, src/script_menu.o, 0, 0, 0
EWRAM, src/coins.o, 0, 0, 0
